# Layer: hcurves-10y
# Investigation time: 1.0
imt,stat,lat,lon,iml_0.001,iml_0.0015656065579430964,iml_0.0024511238942744305,iml_0.0038374956432070686,iml_0.0060080083450830485,iml_0.009406177265238874,iml_0.014726372811633234,iml_0.023055705848607912,iml_0.036096164274587554,iml_0.05651239150488561,iml_0.08847617074509666,iml_0.13851887314021646,iml_0.21686605618721055,iml_0.3395269197619529,iml_0.531565572177533,iml_0.83222254577792,iml_1.3029330753380104,iml_2.039880567310154
PGA,mean,10.978,-74.813,0.22285176813602448,0.17877377569675446,0.13665646314620972,0.0991680696606636,0.068015918135643,0.043920110911130905,0.026603179052472115,0.015048914588987827,0.007907088845968246,0.003840129589661956,0.0017161883879452944,0.0007038046605885029,0.000263863243162632,0.0000895250923349522,0.00002690209112188313,,,
PGA,quantile-0.15,10.978,-74.813,0.11487050354480743,0.09412048012018204,0.07448726892471313,0.05549241602420807,0.037872277200222015,0.023190760985016823,0.012568029575049877,0.00597109692171216,0.0024670702405273914,0.000980266137048602,0.00033681426430121064,0.00009522272739559412,0.000020665383999585174,,,,,
PGA,quantile-0.85,10.978,-74.813,0.32004693150520325,0.25792309641838074,0.19484670460224152,0.14115823805332184,0.09808043390512466,0.06235410273075104,0.037106551229953766,0.020669464021921158,0.010777655988931656,0.005361564457416534,0.0024682225193828344,0.0010442149359732866,0.00040431649540551007,0.00014243459736462682,0.000045075419620843604,0.000012444403182598762,,
SA(0.1),mean,10.978,-74.813,0.2665073871612549,0.22834338247776031,0.18820682168006897,0.1490079164505005,0.11298441886901855,0.08164676278829575,0.05592108145356178,0.036123257130384445,0.021913016214966774,0.012428904883563519,0.00655749998986721,0.0032016518525779247,0.0014385131653398275,0.0005915849469602108,0.00022101662761997432,0.00007411103433696553,0.000021902536900597624,
SA(0.1),quantile-0.15,10.978,-74.813,0.1379602551460266,0.11646668612957001,0.09817467629909515,0.07934418320655823,0.061220280826091766,0.04502784088253975,0.030377771705389023,0.01793270744383335,0.009486371651291847,0.00478883134201169,0.002211945364251733,0.0009255629265680909,0.0003180595813319087,0.00008166806219378486,0.000016060923371696845,,,
SA(0.1),quantile-0.85,10.978,-74.813,0.390480101108551,0.3442641496658325,0.28821343183517456,0.22799475491046906,0.17019425332546234,0.12019308656454086,0.0807526484131813,0.053189679980278015,0.03445113077759743,0.019875064492225647,0.011075073853135109,0.005746269598603249,0.002689484739676118,0.0011619270080700517,0.00047244279994629323,0.000174055909155868,0.0000570163392694667,0.000016162593965418637
SA(0.2),mean,10.978,-74.813,0.28504180908203125,0.24688713252544403,0.20426249504089355,0.16099876165390015,0.12054484337568283,0.08545506000518799,0.05718136578798294,0.036026641726493835,0.02131047286093235,0.011785225011408329,0.006061171181499958,0.002882829401642084,0.001260621240362525,0.00050434994045645,0.00018347105651628226,0.00005995114042889327,0.000017214191757375374,
SA(0.2),quantile-0.15,10.978,-74.813,0.1539449691772461,0.13078290224075317,0.10775531083345413,0.0882619246840477,0.06858796626329422,0.04937544837594032,0.03239712491631508,0.01906747743487358,0.009963185526430607,0.00458539929240942,0.0020221746526658535,0.000800150737632066,0.00027348450385034084,0.00007755147817078978,0.00001701585279079154,,,
SA(0.2),quantile-0.85,10.978,-74.813,0.4011666774749756,0.3557741641998291,0.2983475923538208,0.2348361611366272,0.17275303602218628,0.11866210401058197,0.07934824377298355,0.049504972994327545,0.028250858187675476,0.015090379863977432,0.0077228727750480175,0.003690058598294854,0.001623894670046866,0.0006522146868519485,0.00023753837740514427,0.00007791187090333551,0.000022849213564768434,
SA(0.3),mean,10.978,-74.813,0.2782389223575592,0.23717950284481049,0.19222848117351532,0.1475963145494461,0.10694730281829834,0.07289926707744598,0.04666825011372566,0.028025653213262558,0.015748901292681694,0.008245755918323994,0.00399902043864131,0.0017853088211268187,0.0007295284885913134,0.0002716958406381309,0.00009160458284895867,0.000027614327336777933,,
SA(0.3),quantile-0.15,10.978,-74.813,0.1500973105430603,0.1274040937423706,0.10486067086458206,0.08297690004110336,0.061923347413539886,0.04119356349110603,0.025467095896601677,0.014499325305223465,0.0073818061500787735,0.0032280641607940197,0.001264659920707345,0.00044067081762477756,0.00012588714889716357,0.00002753003172983881,,,,
