# Layer: disagg-40507
lat,lon,trt,imt,poe_0.032189,poe_0.004438,poe_0.002105,poe_0.001026,poe_0.000404
11.529,-72.911,Active Shallow Crust,PGA,0.030570298433303833,0.0043355547823011875,0.002083757659420371,0.001021029893308878,0.00040458812145516276
11.529,-72.911,Active Shallow Crust,SA(0.1),0.030832180753350258,0.004355170298367739,0.002089990768581629,0.001026306999847293,0.000407460262067616
11.529,-72.911,Active Shallow Crust,SA(0.2),0.030043281614780426,0.0042101419530808926,0.0020300322212278843,0.0010065542301163077,0.0004028896801173687
11.529,-72.911,Active Shallow Crust,SA(0.3),0.02979927323758602,0.004143548663705587,0.001998365856707096,0.0009954002453014255,0.000399734330130741
11.529,-72.911,Active Shallow Crust,SA(0.5),0.02958802320063114,0.004172481596469879,0.00201581884175539,0.0010006126249209046,0.0004012869030702859
11.529,-72.911,Active Shallow Crust,SA(0.7),0.02948969230055809,0.004161129239946604,0.002012590179219842,0.0010008095996454358,0.00040103221544995904
11.529,-72.911,Active Shallow Crust,SA(1.0),0.029003482311964035,0.004132831934839487,0.001998902065679431,0.00099142303224653,0.0003977085871156305
11.529,-72.911,Active Shallow Crust,SA(1.5),0.028675584122538567,0.0041260612197220325,0.0020014645997434855,0.0009934561094269156,0.0003980207839049399
11.529,-72.911,Active Shallow Crust,SA(2.0),0.02802383154630661,0.004075366538017988,0.001990237971767783,0.0009917449206113815,0.0003993403515778482
11.529,-72.911,Active Shallow Crust,SA(2.5),0.028146592900156975,0.004110355861485004,0.0020065384451299906,0.0010011118138208985,0.0004023438668809831
11.529,-72.911,Active Shallow Crust,SA(3.0),0.028715748339891434,0.004190326202660799,0.002033694414421916,0.001006514416076243,0.00040101277409121394
11.529,-72.911,Active Shallow Crust,SA(4.0),0.02959832362830639,0.0042985593900084496,0.0020745389629155397,0.0010214694775640965,0.0004061082436237484
11.529,-72.911,Active Shallow Crust,SA(5.0),0,0.004360232502222061,0.002093476476147771,0.0010312675731256604,0.0004089946742169559
11.529,-72.911,Deep Seismicity,PGA,0.0018702208762988448,0.00013617593504022807,0.00003789329275605269,0.000009278701327275485,0.000001126400434259267
11.529,-72.911,Deep Seismicity,SA(0.1),0.0015535076381638646,0.00012233122834004462,0.00003723172994796187,0.000010401318832009565,0.0000016132876226038206
11.529,-72.911,Deep Seismicity,SA(0.2),0.002255707513540983,0.00024994462728500366,0.0000907509311218746,0.00003083679621340707,0.000006389449026755756
11.529,-72.911,Deep Seismicity,SA(0.3),0.0026677476707845926,0.0003011563094332814,0.00011129588529001921,0.000038549416785826907,0.000008067049748206045
11.529,-72.911,Deep Seismicity,SA(0.5),0.0028202137909829617,0.00028621041565202177,0.00010186051076743752,0.000033363521652063355,0.000006290668807196198
11.529,-72.911,Deep Seismicity,SA(0.7),0.003040159586817026,0.0002808409044519067,0.00009721779497340322,0.000031302326533477753,0.0000057703400671016425
11.529,-72.911,Deep Seismicity,SA(1.0),0.003591777989640832,0.0003272321482654661,0.00011236895807087421,0.00003608446058933623,0.000006904496331117116
11.529,-72.911,Deep Seismicity,SA(1.5),0.0038827734533697367,0.0003306858998257667,0.00010937327169813216,0.000033836626244010404,0.000006229171503946418
11.529,-72.911,Deep Seismicity,SA(2.0),0.00458099041134119,0.00039020791882649064,0.0001268776977667585,0.00003826740066870116,0.000006985412710491801
11.529,-72.911,Deep Seismicity,SA(2.5),0.0043703047558665276,0.00035420130006968975,0.00011191785597475246,0.00003279020165791735,0.000005699842859030468
11.529,-72.911,Deep Seismicity,SA(3.0),0.0038117968942970037,0.00026395529857836664,0.00007708811608608812,0.000020715744540211745,0.0000031276231311494485
11.529,-72.911,Deep Seismicity,SA(4.0),0.0029750110115855932,0.00016890787810552865,0.00004548674769466743,0.000011387162885512225,0.000001472771600674605
11.529,-72.911,Deep Seismicity,SA(5.0),0,0.00009637329640099779,0.000023398226403514855,0.000005250225967756705,5.055899237049744e-7
11.529,-72.911,Subduction Interface,PGA,0,0,0,0,0
11.529,-72.911,Subduction Interface,SA(0.1),0,0,0,0,0
11.529,-72.911,Subduction Interface,SA(0.2),0,0,0,0,0
11.529,-72.911,Subduction Interface,SA(0.3),0,0,0,0,0
11.529,-72.911,Subduction Interface,SA(0.5),0,0,0,0,0
11.529,-72.911,Subduction Interface,SA(0.7),0,0,0,0,0
11.529,-72.911,Subduction Interface,SA(1.0),0,0,0,0,0
11.529,-72.911,Subduction Interface,SA(1.5),0,0,0,0,0
11.529,-72.911,Subduction Interface,SA(2.0),0,0,0,0,0
11.529,-72.911,Subduction Interface,SA(2.5),0,0,0,0,0
11.529,-72.911,Subduction Interface,SA(3.0),0,0,0,0,0
11.529,-72.911,Subduction Interface,SA(4.0),0,0,0,0,0
11.529,-72.911,Subduction Interface,SA(5.0),0,0,0,0,0
11.529,-72.911,Subduction IntraSlab,PGA,0,0,0,0,0
11.529,-72.911,Subduction IntraSlab,SA(0.1),0,0,0,0,0
11.529,-72.911,Subduction IntraSlab,SA(0.2),0,0,0,0,0
11.529,-72.911,Subduction IntraSlab,SA(0.3),0,0,0,0,0
11.529,-72.911,Subduction IntraSlab,SA(0.5),0,0,0,0,0
11.529,-72.911,Subduction IntraSlab,SA(0.7),0,0,0,0,0
11.529,-72.911,Subduction IntraSlab,SA(1.0),0,0,0,0,0
11.529,-72.911,Subduction IntraSlab,SA(1.5),0,0,0,0,0
11.529,-72.911,Subduction IntraSlab,SA(2.0),0,0,0,0,0
11.529,-72.911,Subduction IntraSlab,SA(2.5),0,0,0,0,0
