# Layer: hcurves-10y
# Investigation time: 1.0
imt,stat,lat,lon,iml_0.001,iml_0.0015656065579430964,iml_0.0024511238942744305,iml_0.0038374956432070686,iml_0.0060080083450830485,iml_0.009406177265238874,iml_0.014726372811633234,iml_0.023055705848607912,iml_0.036096164274587554,iml_0.05651239150488561,iml_0.08847617074509666,iml_0.13851887314021646,iml_0.21686605618721055,iml_0.3395269197619529,iml_0.531565572177533,iml_0.83222254577792,iml_1.3029330753380104,iml_2.039880567310154,iml_3.193650393601467,iml_5.0000000000000036
PGA,mean,1.212,-77.279,0.4720136821269989,0.4243728816509247,0.36895957589149475,0.3091113269329071,0.24897189438343048,0.19237861037254333,0.14196765422821045,0.0991712436079979,0.06473106145858765,0.0389014333486557,0.02123199589550495,0.010413660667836666,0.004561523906886578,0.0017739064060151577,0.0006007807678543031,0.0001697419793345034,0.00003748889866983518,,,
PGA,quantile-0.15,1.212,-77.279,0.3721551299095154,0.34587958455085754,0.3143848478794098,0.27729690074920654,0.22928790748119354,0.17209312319755554,0.12293568253517151,0.08294128626585007,0.0522276796400547,0.030040251091122627,0.01553364098072052,0.007262967061251402,0.002962881699204445,0.0010750889778137207,0.00032478562206961215,0.00007982464740052819,0.000015626999811502174,,,
PGA,quantile-0.85,1.212,-77.279,0.55996173620224,0.5003811120986938,0.4280123710632324,0.34981536865234375,0.2737252116203308,0.20499734580516815,0.1552165150642395,0.11478624492883682,0.07988536357879639,0.050549522042274475,0.029111647978425026,0.015223168767988682,0.007060524076223373,0.00288682384416461,0.0010492093861103058,0.00034064383362419903,0.00008191083907149732,0.00001750882984197233,,
SA(0.1),mean,1.212,-77.279,0.5121201276779175,0.4787737727165222,0.43681320548057556,0.3873175084590912,0.3326202929019928,0.27606046199798584,0.22113125026226044,0.17053598165512085,0.12588995695114136,0.08807043731212616,0.0576191283762455,0.03475605323910713,0.019080303609371185,0.00943218544125557,0.0041567739099264145,0.00160818244330585,0.0005316392052918673,0.0001448058319510892,0.000030894494557287544,
SA(0.1),quantile-0.15,1.212,-77.279,0.3947262465953827,0.37283855676651,0.3473772406578064,0.318321168422699,0.28601330518722534,0.24721132218837738,0.19916167855262756,0.14917947351932526,0.10654003173112869,0.07058199495077133,0.04390034079551697,0.025132369250059128,0.013065740466117859,0.006089211907237768,0.0024377654772251844,0.0008118557161651552,0.0002215544955106452,0.00005301606506691314,,
SA(0.1),quantile-0.85,1.212,-77.279,0.6169509291648865,0.5832675099372864,0.5357995629310608,0.474814772605896,0.4033289849758148,0.3273751437664032,0.2535291910171509,0.1900552362203598,0.1436392217874527,0.10667186230421066,0.07331506162881851,0.04665222764015198,0.027271220460534096,0.01448491308838129,0.00693843699991703,0.0029578907415270805,0.001108010415919125,0.0003560784098226577,0.00010083657980430871,0.00001871761014626827
SA(0.2),mean,1.212,-77.279,0.5242902040481567,0.49239280819892883,0.4502565562725067,0.3989625573158264,0.34127938747406006,0.28122422099113464,0.22294119000434875,0.16958996653556824,0.12303464114665985,0.08425387740135193,0.05374360457062721,0.031494203954935074,0.01675204560160637,0.008015092462301254,0.0034255250357091427,0.0012938857544213533,0.0004215173830743879,0.00011298325262032449,0.00002323926855751779,
SA(0.2),quantile-0.15,1.212,-77.279,0.40650272369384766,0.38491278886795044,0.35801932215690613,0.32805314660072327,0.29378482699394226,0.2552322447299957,0.20745131373405457,0.15513671934604645,0.10720411688089371,0.07134625315666199,0.04280412569642067,0.023821694776415825,0.01210825052112341,0.0054114628583192825,0.002156168222427368,0.0007380639435723424,0.00021303918038029224,0.000051096216338919476,,
SA(0.2),quantile-0.85,1.212,-77.279,0.6217226386070251,0.5871343016624451,0.5366964340209961,0.47067782282829285,0.3936372995376587,0.3129728138446808,0.23700228333473206,0.18017202615737915,0.1358114331960678,0.09783148020505905,0.06564684957265854,0.04025331512093544,0.02212986722588539,0.010991659946739674,0.004884068388491869,0.0019490256672725081,0.000682698329910636,0.00020274781854823232,0.000047529123548883945,
SA(0.3),mean,1.212,-77.279,0.5172160863876343,0.48085394501686096,0.4338204264640808,0.3780658543109894,0.31717443466186523,0.2555282413959503,0.19714030623435974,0.14490856230258942,0.1006164476275444,0.06523871421813965,0.039002250880002975,0.02124990150332451,0.010458474978804588,0.004624729510396719,0.001830264343880117,0.000641115359030664,0.00019262370187789202,0.000047122943215072155,,
SA(0.3),quantile-0.15,1.212,-77.279,0.4021979868412018,0.3809676170349121,0.35459890961647034,0.31878867745399475,0.2780260443687439,0.23737065494060516,0.1864020973443985,0.13266655802726746,0.08775097131729126,0.05370620638132095,0.03040356934070587,0.015585854649543762,0.007196853868663311,0.0029464128892868757,0.0010646916925907135,0.0003329685714561492,0.00008867771975928918,0.000019501318092807196,,
SA(0.3),quantile-0.85,1.212,-77.279,0.603584349155426,0.5583691000938416,0.49645137786865234,0.42674776911735535,0.34763002395629883,0.27217260003089905,0.20833806693553925,0.15783283114433289,0.11403989046812057,0.07717949897050858,0.048967719078063965,0.028279168531298637,0.014648201875388622,0.006853412836790085,0.0028768740594387054,0.0010664669098332524,0.0003355128283146769,0.00008883685222826898,0.00001807930675568059,
SA(0.5),mean,1.212,-77.279,0.4887404143810272,0.44291484355926514,0.38795700669288635,0.32708433270454407,0.2642763555049896,0.20353053510189056,0.14832451939582825,0.1013517677783966,0.06429187208414078,0.0375073105096817,0.01997312530875206,0.009661977179348469,0.004242518916726112,0.0016969777643680573,0.0006168321124278009,0.0001994949416257441,0.00005479751052916981,0.000011961978998442646,,
SA(0.5),quantile-0.15,1.212,-77.279,0.3881280720233917,0.3603934645652771,0.32630303502082825,0.2862338423728943,0.2408066838979721,0.18031243979930878,0.13275738060474396,0.0848056897521019,0.04971205070614815,0.028005139902234077,0.014348989352583885,0.006447950843721628,0.002669778885319829,0.0009120730683207512,0.00029994043870829046,0.00007964881660882384,0.000018402872228762135,,,
SA(0.5),quantile-0.85,1.212,-77.279,0.5494356751441956,0.49322229623794556,0.4279254674911499,0.3578897714614868,0.28736257553100586,0.22013455629348755,0.16841274499893188,0.11599268764257431,0.07636861503124237,0.048258617520332336,0.02713925950229168,0.013918526470661163,0.006596640683710575,0.002870312426239252,0.0011141475988551974,0.00037161409272812307,0.000109638407593593,0.000025631568860262632,,
SA(0.7),mean,1.212,-77.279,0.44634321331977844,0.3932974338531494,0.33421409130096436,0.2725209891796112,0.21184633672237396,0.15569882094860077,0.10717920958995819,0.06848321855068207,0.04031836986541748,0.02175724506378174,0.01072649285197258,0.004825532902032137,0.001984086586162448,0.0007441153284162283,0.0002503852010704577,0.0000726447397028096,0.000017438418581150472,,,
SA(0.7),quantile-0.15,1.212,-77.279,0.3604116439819336,0.32794705033302307,0.2899545729160309,0.2462073117494583,0.18567544221878052,0.1398068517446518,0.09273385256528854,0.05622981861233711,0.03140758350491524,0.016099553555250168,0.007408556062728167,0.002978505799546838,0.001074491417966783,0.00034386065090075135,0.00010044582450063899,0.000026008921850007027,,,,
SA(0.7),quantile-0.85,1.212,-77.279,0.5052036046981812,0.44272130727767944,0.37445154786109924,0.3040081858634949,0.2336970716714859,0.17183582484722137,0.12152434885501862,0.08032802492380142,0.05071844160556793,0.029026120901107788,0.015446722507476807,0.00743694556877017,0.003336212830618024,0.0013307505287230015,0.00045856961514800787,0.00014441453095059842,0.000042267220123903826,,,
SA(1.0),mean,1.212,-77.279,0.3911222517490387,0.333802193403244,0.27392303943634033,0.21459917724132538,0.1590883880853653,0.11056248843669891,0.07145700603723526,0.04270745813846588,0.023527350276708603,0.011922563426196575,0.005548135843127966,0.002369070425629616,0.000926006818190217,0.00032743101473897696,0.0001015585075947456,0.000026745667128125206,,,,
SA(1.0),quantile-0.15,1.212,-77.279,0.3285748064517975,0.2912801504135132,0.24884048104286194,0.19236530363559723,0.14424696564674377,0.09895158559083939,0.06108027324080467,0.034431543201208115,0.017637982964515686,0.00809074379503727,0.0033263179939240217,0.00122747546993196,0.00041273710667155683,0.00013485303497873247,0.000033702377550071105,,,,,
SA(1.0),quantile-0.85,1.212,-77.279,0.4433893859386444,0.37662559747695923,0.29988130927085876,0.23174408078193665,0.17435823380947113,0.12347584962844849,0.08306744694709778,0.053222764283418655,0.031020740047097206,0.016917062923312187,0.00861992035061121,0.0038545276038348675,0.001614109962247312,0.0005996301188133657,0.00021211925195530057,0.000059231537306914106,0.00001876221904240083,,,
SA(1.5),mean,1.212,-77.279,0.31775152683258057,0.259309321641922,0.201874777674675,0.14854273200035095,0.10240039974451065,0.06570673733949661,0.03910595178604126,0.02156146429479122,0.011005809530615807,0.005194579251110554,0.0022634982597082853,0.0009072932880371809,0.0003305624413769692,0.00010646088048815727,0.00002938452598755248,,,,,
SA(1.5),quantile-0.15,1.212,-77.279,0.2797123193740845,0.23672781884670258,0.18425799906253815,0.13473740220069885,0.09054451435804367,0.05500307306647301,0.030599813908338547,0.015795812010765076,0.007317203097045422,0.003203399246558547,0.0012668039416894317,0.00042712711729109287,0.00012321081885602325,0.00002916022640420124,,,,,,
