TR,MMean,RMean,Vs30
31,,,760
225,5.704263324744173,136.75230317229475,760
475,5.765883860859263,109.39561687741714,760
975,5.803678408814014,86.70653843256915,760
2475,5.835376362271979,62.08646768075918,760
