# Layer: hcurves-10y
# Investigation time: 1.0
imt,stat,lat,lon,iml_0.001,iml_0.0015656065579430964,iml_0.0024511238942744305,iml_0.0038374956432070686,iml_0.0060080083450830485,iml_0.009406177265238874,iml_0.014726372811633234,iml_0.023055705848607912,iml_0.036096164274587554,iml_0.05651239150488561,iml_0.08847617074509666,iml_0.13851887314021646,iml_0.21686605618721055,iml_0.3395269197619529,iml_0.531565572177533,iml_0.83222254577792
PGA,mean,7.074,-70.748,0.4727374315261841,0.39638444781303406,0.31273573637008667,0.22927115857601166,0.15385465323925018,0.09303570538759232,0.050063733011484146,0.023814817890524864,0.009998461231589317,0.003710678545758128,0.0012229874264448881,0.00035925887641496956,0.00009424384916201234,0.000022139247448649257,,
PGA,quantile-0.15,7.074,-70.748,0.408019095659256,0.33109185099601746,0.2533746361732483,0.18180793523788452,0.1167147234082222,0.06354998052120209,0.029920997098088264,0.012073912657797337,0.0041775181889534,0.001258529955521226,0.0003445265465416014,0.00009132200648309663,0.000025301724235760048,,,
PGA,quantile-0.85,7.074,-70.748,0.5371554493904114,0.4612935483455658,0.3712506890296936,0.27539941668510437,0.1922512799501419,0.1190071552991867,0.06609192490577698,0.032955918461084366,0.014673841185867786,0.005864791572093964,0.0020894084591418505,0.0006452669040299952,0.00017697935982141644,0.000039628244849154726,,
SA(0.1),mean,7.074,-70.748,0.5391570925712585,0.483396053314209,0.4159722626209259,0.3405456244945526,0.26261651515960693,0.18849053978919983,0.12416034191846848,0.07399330288171768,0.03942033648490906,0.018629606813192368,0.007779774721711874,0.0028701971750706434,0.0009393131476826966,0.0002754171728156507,0.0000735313369659707,0.00001791475006029941
SA(0.1),quantile-0.15,7.074,-70.748,0.48293155431747437,0.41917985677719116,0.3453340530395508,0.2744269073009491,0.20428647100925446,0.14103122055530548,0.08385312557220459,0.04409506544470787,0.020339475944638252,0.008152911439538002,0.002817203989252448,0.0008384714019484818,0.00022065310622565448,0.00005460609099827707,0.000013448583558783866,
SA(0.1),quantile-0.85,7.074,-70.748,0.61264967918396,0.5670631527900696,0.5045216679573059,0.42643624544143677,0.33787089586257935,0.2475803941488266,0.1659587323665619,0.1034112423658371,0.05769279599189758,0.028140442445874214,0.012771911919116974,0.0052702478133141994,0.0019536323379725218,0.0006413244991563261,0.00018274311150889844,0.00004412953057908453
SA(0.2),mean,7.074,-70.748,0.5620706677436829,0.5090613961219788,0.4414307773113251,0.3627132475376129,0.27920663356781006,0.19877928495407104,0.12900638580322266,0.07522806525230408,0.03896351903676987,0.017805065959692,0.007161413319408894,0.0025408596266061068,0.0008033057674765587,0.00022861680190544575,0.00005923237040406093,0.000013844252862327266
SA(0.2),quantile-0.15,7.074,-70.748,0.5166031718254089,0.4581974446773529,0.3867679536342621,0.30732834339141846,0.22782254219055176,0.15945236384868622,0.10130547732114792,0.05691049247980118,0.02733089216053486,0.01119305845350027,0.003907380159944296,0.0011551585048437119,0.00029519794043153524,0.0000637369739706628,0.000014238935364119243,
SA(0.2),quantile-0.85,7.074,-70.748,0.620759904384613,0.575645923614502,0.5114110708236694,0.4296233654022217,0.33636540174484253,0.2418045550584793,0.15756210684776306,0.09405875951051712,0.05009300634264946,0.02389235608279705,0.010215669870376587,0.0038999682292342186,0.0013803153997287154,0.00040418890421278775,0.0001004948717309162,0.000021028561604907736
SA(0.3),mean,7.074,-70.748,0.5515028238296509,0.49184930324554443,0.4173271656036377,0.3331185281276703,0.24711473286151886,0.16809839010238647,0.10339777916669846,0.056796565651893616,0.027636554092168808,0.011875316500663757,0.004510705359280109,0.0015243797097355127,0.00046103328350000083,0.0001245105086127296,0.000029607757824123837,
SA(0.3),quantile-0.15,7.074,-70.748,0.505402147769928,0.44410744309425354,0.3724682331085205,0.2944246828556061,0.21737562119960785,0.14759749174118042,0.08749333024024963,0.04512748494744301,0.020360277965664864,0.0079487394541502,0.0026528153102844954,0.000688666885253042,0.00015289336442947388,0.000032642190490150824,,
SA(0.3),quantile-0.85,7.074,-70.748,0.5974634885787964,0.5400048494338989,0.46341222524642944,0.3725995421409607,0.27679443359375,0.19380196928977966,0.12234804779291153,0.06903836876153946,0.03480764478445053,0.015605023130774498,0.006200462579727173,0.002179392846301198,0.000669857778120786,0.0001763434847816825,0.00003848784399451688,
SA(0.5),mean,7.074,-70.748,0.5076152682304382,0.4344664216041565,0.35009634494781494,0.2623398005962372,0.18043839931488037,0.11258924007415771,0.06322134286165237,0.03184717893600464,0.014396755956113338,0.005849065724760294,0.0021330032031983137,0.0006901404121890664,0.00019434187561273575,0.00004576803257805295,,
SA(0.5),quantile-0.15,7.074,-70.748,0.4614203870296478,0.3905390799045563,0.31140854954719543,0.23116804659366608,0.15709516406059265,0.09684541076421738,0.05262015759944916,0.024788739159703255,0.010258695110678673,0.0034045001957565546,0.0009331481414847076,0.00021651953284163028,0.00004848483877140097,0.000011617783457040787,,
SA(0.5),quantile-0.85,7.074,-70.748,0.5238636136054993,0.4450973868370056,0.3687491714954376,0.28594356775283813,0.20481820404529572,0.13394764065742493,0.07908227294683456,0.04164210706949234,0.019297227263450623,0.007769565097987652,0.002692878246307373,0.0007990333833731711,0.00021284121612552553,0.00004987870852346532,,
