# Layer: hcurves-10y
# Investigation time: 1.0
imt,stat,lat,lon,iml_0.001,iml_0.0015656065579430964,iml_0.0024511238942744305,iml_0.0038374956432070686,iml_0.0060080083450830485,iml_0.009406177265238874,iml_0.014726372811633234,iml_0.023055705848607912,iml_0.036096164274587554,iml_0.05651239150488561,iml_0.08847617074509666,iml_0.13851887314021646,iml_0.21686605618721055,iml_0.3395269197619529,iml_0.531565572177533,iml_0.83222254577792,iml_1.3029330753380104,iml_2.039880567310154,iml_3.193650393601467
PGA,mean,4.650,-74.107,0.5382011532783508,0.46722039580345154,0.389557421207428,0.3097181022167206,0.23266595602035522,0.16349218785762787,0.10647750645875931,0.06386536359786987,0.035232093185186386,0.017962096258997917,0.008539213798940182,0.0038073279429227114,0.0015777017688378692,0.0005888299201615155,0.00018875938258133829,0.000049032667448045686,,,
PGA,quantile-0.15,4.650,-74.107,0.49048498272895813,0.42889413237571716,0.35095563530921936,0.27040010690689087,0.19552960991859436,0.13191841542720795,0.0813279002904892,0.045560501515865326,0.02319190837442875,0.010803427547216415,0.004667665343731642,0.0018761161481961608,0.0007207399467006326,0.00026394068845547736,0.00008706386142875999,0.000023969121684785932,,,
PGA,quantile-0.85,4.650,-74.107,0.5996493101119995,0.5225281119346619,0.43340930342674255,0.34236329793930054,0.26074832677841187,0.1903538852930069,0.1299595683813095,0.08396973460912704,0.04949314892292023,0.02686483785510063,0.013523178175091743,0.006347835995256901,0.00273826252669096,0.001072959741577506,0.00036579411244019866,0.00010386537906015292,0.00002263652640976943,,
SA(0.1),mean,4.650,-74.107,0.5996370315551758,0.5457544922828674,0.48264315724372864,0.4130744934082031,0.3403685390949249,0.26808860898017883,0.20005856454372406,0.14010541141033173,0.09128333628177643,0.05500127747654915,0.030593086034059525,0.015753429383039474,0.007543753366917372,0.00335847120732069,0.001374267740175128,0.0005045997677370906,0.00016088476695585996,0.00004289849675842561,
SA(0.1),quantile-0.15,4.650,-74.107,0.5469205975532532,0.4950476586818695,0.4361927807331085,0.3707113265991211,0.2963307797908783,0.22604569792747498,0.16196757555007935,0.10899344086647034,0.0679040402173996,0.03867042437195778,0.0194690003991127,0.008731930516660213,0.0035700907465070486,0.0013487155083566904,0.00047695846296846867,0.0001574620109749958,0.000045587687054648995,0.000010710677997849416,
SA(0.1),quantile-0.85,4.650,-74.107,0.6768088936805725,0.6275213956832886,0.5628267526626587,0.48529377579689026,0.3990916609764099,0.3155847489833832,0.2386118471622467,0.1679060310125351,0.11199034005403519,0.07242663204669952,0.0441710539162159,0.025349533185362816,0.013610044494271278,0.006816099397838116,0.0031370685901492834,0.0010100484360009432,0.0004490877327043563,0.00009746351861394942,0.00003154500882374123
SA(0.2),mean,4.650,-74.107,0.6233831644058228,0.5711907744407654,0.5065529942512512,0.432600736618042,0.3536834716796875,0.27481570839881897,0.2012024074792862,0.1375809609889984,0.08717961609363556,0.050930507481098175,0.027410360053181648,0.013646349310874939,0.006328074727207422,0.002741434145718813,0.0010987312998622656,0.00039570589433424175,0.00012235651956871152,0.000030596529541071504,
SA(0.2),quantile-0.15,4.650,-74.107,0.5764446258544922,0.5262256264686584,0.46719595789909363,0.40021276473999023,0.324966698884964,0.24552267789840698,0.17352481186389923,0.11401446163654327,0.06888063251972198,0.037943825125694275,0.018922539427876472,0.008604753762483597,0.00360104045830667,0.0014127593021839857,0.0005184516194276512,0.00017648121865931898,0.00005377153502195142,0.000013672727618541103,
SA(0.2),quantile-0.85,4.650,-74.107,0.6870825290679932,0.6384527087211609,0.5710651874542236,0.4874015748500824,0.3941038250923157,0.30342087149620056,0.2241627275943756,0.16023220121860504,0.10701292753219604,0.06558321416378021,0.03693513944745064,0.01918421871960163,0.009244929999113083,0.004127810709178448,0.0016985973343253136,0.0006320549291558564,0.0002063732681563124,0.00005637205686070956,0.000011791285032813903
SA(0.3),mean,4.650,-74.107,0.6143261194229126,0.5564998388290405,0.4857701361179352,0.40603527426719666,0.32254737615585327,0.24140359461307526,0.16870036721229553,0.10920100659132004,0.06511025875806808,0.03569744527339935,0.018048018217086792,0.008471185341477394,0.0037166583351790905,0.0015227370895445347,0.0005712173297069967,0.0001888070983113721,0.00005206058995099738,0.000011096763955720235,
SA(0.3),quantile-0.15,4.650,-74.107,0.5665618181228638,0.5158112645149231,0.4569337069988251,0.38683608174324036,0.3045233190059662,0.22251562774181366,0.15201540291309357,0.09386708587408066,0.052518539130687714,0.0261995829641819,0.012176484800875187,0.005133864004164934,0.0019764455500990152,0.000705727085005492,0.00023640737344976515,0.00007416151493089274,0.000021180374460527673,,
SA(0.3),quantile-0.85,4.650,-74.107,0.6635178327560425,0.6033955812454224,0.5249576568603516,0.4331943988800049,0.33777347207069397,0.2574285864830017,0.1862642914056778,0.1264050155878067,0.07892868667840958,0.04536106809973717,0.02416432835161686,0.012006684206426144,0.005589854903519154,0.0024044897872954607,0.0009241212392225862,0.0003047382924705744,0.0000802252470748499,0.000017344789739581756,
SA(0.5),mean,4.650,-74.107,0.5750818252563477,0.5059827566146851,0.4257403016090393,0.33933499455451965,0.25340574979782104,0.175447478890419,0.11172708868980408,0.065216563642025,0.03495684638619423,0.01731337048113346,0.007993380539119244,0.0034693358466029167,0.001417670864611864,0.0005371567094698548,0.00018262055527884513,0.000053101972298463807,0.000012413875992933754,,
SA(0.5),quantile-0.15,4.650,-74.107,0.5360033512115479,0.4751265347003937,0.40529975295066833,0.31940340995788574,0.2304043024778366,0.15212705731391907,0.09090298414230347,0.0489981435239315,0.023680802434682846,0.01031443104147911,0.004073246847838163,0.0015322617255151272,0.0005538046243600547,0.0001923290255945176,0.0000643300372757949,0.00002023786146310158,,,
