  *** Output file from program Haz42-Post *** 													
               *** Version 1.0 ***           													
 													
 Input filename:   													
 													
Number of hazard levels =       8												
 													
 Hazard Levels:													
     AEP         RP (yr)													
	2.00E-02	50
16	2.000	0.711	0.711	0.711	0.710	0.710	0.710	0.710	0.710
17	3.000	0.711	0.711	0.711	0.711	0.711	0.711	0.711	0.711
18	4.000	0.701	0.701	0.701	0.701	0.701	0.701	0.701	0.701
19	5.000	0.702	0.702	0.702	0.702	0.702	0.702	0.702	0.702
20	7.500	0.698	0.698	0.698	0.698	0.698	0.698	0.698	0.698
21	10.000	0.687	0.687	0.687	0.687	0.687	0.687	0.687	0.687

Rho: 	
1	0.010	0.420	0.420	0.420	0.420	0.420	0.420	0.420	0.420
2	0.020	0.406	0.406	0.406	0.406	0.406	0.406	0.406	0.406
3	0.030	0.383	0.383	0.383	0.383	0.383	0.383	0.383	0.383
4	0.050	0.319	0.319	0.319	0.319	0.319	0.319	0.319	0.319
5	0.075	0.235	0.235	0.235	0.235	0.235	0.235	0.235	0.235
6	0.100	0.185	0.185	0.185	0.185	0.185	0.185	0.185	0.185
7	0.150	0.254	0.254	0.254	0.254	0.254	0.254	0.254	0.254
8	0.200	0.328	0.328	0.328	0.328	0.328	0.328	0.328	0.328
9	0.250	0.390	0.390	0.390	0.390	0.390	0.390	0.390	0.390
10	0.300	0.444	0.444	0.444	0.444	0.444	0.444	0.444	0.444
11	0.400	0.535	0.535	0.535	0.535	0.535	0.535	0.535	0.535
12	0.500	0.609	0.609	0.609	0.609	0.609	0.609	0.609	0.609
13	0.750	0.749	0.749	0.749	0.749	0.749	0.749	0.749	0.749
14	1.000	0.852	0.852	0.852	0.852	0.852	0.852	0.852	0.852
15	1.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
16	2.000	0.895	0.895	0.895	0.895	0.895	0.895	0.895	0.895
17	3.000	0.749	0.749	0.749	0.749	0.749	0.749	0.749	0.749
18	4.000	0.649	0.649	0.649	0.649	0.649	0.649	0.649	0.649
19	5.000	0.573	0.573	0.573	0.573	0.573	0.573	0.573	0.573
20	7.500	0.444	0.444	0.444	0.444	0.444	0.444	0.444	0.444
21	10.000	0.360	0.360	0.360	0.360	0.360	0.360	0.360	0.360
