TR,MMean,RMean,Vs30
31,5.978036180930874,225.98604431174982,760
225,6.189192116483266,182.73602842740326,760
475,6.208431976829746,159.91685109209075,760
975,6.194829800572352,134.04711797236564,760
2475,6.130644731825123,97.08220033637909,760
