# Layer: hcurves-10y
# Investigation time: 1.0
imt,stat,lat,lon,iml_0.001,iml_0.0015656065579430964,iml_0.0024511238942744305,iml_0.0038374956432070686,iml_0.0060080083450830485,iml_0.009406177265238874,iml_0.014726372811633234,iml_0.023055705848607912,iml_0.036096164274587554,iml_0.05651239150488561,iml_0.08847617074509666,iml_0.13851887314021646,iml_0.21686605618721055,iml_0.3395269197619529,iml_0.531565572177533,iml_0.83222254577792,iml_1.3029330753380104,iml_2.039880567310154
PGA,mean,2.936,-75.278,0.48343154788017273,0.4209132194519043,0.35196876525878906,0.2815317213535309,0.214473694562912,0.15463542938232422,0.10450250655412674,0.0653521791100502,0.0372934453189373,0.01915835589170456,0.008732229471206665,0.0034679542295634747,0.001176186022348702,0.00033402739791199565,0.00007783278852002695,0.000014926872609066777,,
PGA,quantile-0.15,2.936,-75.278,0.45812928676605225,0.38882553577423096,0.3171064555644989,0.24823516607284546,0.18631267547607422,0.13311316072940826,0.08906403183937073,0.054883211851119995,0.030595213174819946,0.015169735997915268,0.006572313606739044,0.00246205716393888,0.0007928219274617732,0.00021704117534682155,0.00005011239409213886,0.000010092894626723137,,
PGA,quantile-0.85,2.936,-75.278,0.5155578851699829,0.4508315920829773,0.380460262298584,0.3086441159248352,0.24010680615901947,0.17736093699932098,0.12282784283161163,0.07878819108009338,0.0463726632297039,0.024167414754629135,0.011288429610431194,0.004389371257275343,0.0014959546970203519,0.00043541559716686606,0.00010749744978966191,0.000022477352104033343,,
SA(0.1),mean,2.936,-75.278,0.5370931029319763,0.4903067946434021,0.43430137634277344,0.37197592854499817,0.30716434121131897,0.2437654286623001,0.18505078554153442,0.13339243829250336,0.09034406393766403,0.0567438080906868,0.032594483345746994,0.016885846853256226,0.007771642412990332,0.003121613524854183,0.0010726182954385877,0.0003083189367316663,0.00007228994218166918,0.00001350008460576646
SA(0.1),quantile-0.15,2.936,-75.278,0.5044132471084595,0.4556686282157898,0.39909330010414124,0.3330646753311157,0.26896312832832336,0.21113193035125732,0.1566629558801651,0.1110972911119461,0.07376597076654434,0.04492933303117752,0.024879591539502144,0.012378888204693794,0.005463809706270695,0.0021544438786804676,0.0007362442556768656,0.0001967235584743321,0.00004009559052065015,
SA(0.1),quantile-0.85,2.936,-75.278,0.5809182524681091,0.5368474125862122,0.48101115226745605,0.41911473870277405,0.3509312570095062,0.2803504765033722,0.21353568136692047,0.15471278131008148,0.10519900172948837,0.0663830041885376,0.038453131914138794,0.02039361372590065,0.00948376301676035,0.004071840550750494,0.001536111580207944,0.0004999225493520498,0.00013648468302562833,0.0000275209458777681
SA(0.2),mean,2.936,-75.278,0.5560076832771301,0.5111047625541687,0.4544004797935486,0.3888924717903137,0.31917086243629456,0.2503242492675781,0.18680204451084137,0.13176067173480988,0.08698331564664841,0.05308624356985092,0.02956515923142433,0.014833196997642517,0.0066068219020962715,0.0025626446586102247,0.0008465727441944182,0.00023244145268108696,0.00005135997707839124,
SA(0.2),quantile-0.15,2.936,-75.278,0.5273502469062805,0.478238046169281,0.42884087562561035,0.36324965953826904,0.2925792634487152,0.22537747025489807,0.16567130386829376,0.11541121453046799,0.07500925660133362,0.04489801079034805,0.024492649361491203,0.011775240302085876,0.005172340199351311,0.0019884430803358555,0.0006170597043819726,0.00015932295355014503,0.00003166231181239709,
SA(0.2),quantile-0.85,2.936,-75.278,0.5909292101860046,0.5477439165115356,0.48907798528671265,0.41898053884506226,0.3479626774787903,0.2731480002403259,0.20470280945301056,0.14959515631198883,0.10132235288619995,0.06305738538503647,0.03559176251292229,0.018498219549655914,0.008388222195208073,0.0033138329163193703,0.0011246922658756375,0.0003257927019149065,0.00007523524982389063,0.000013292526091390755
SA(0.3),mean,2.936,-75.278,0.5474942326545715,0.49765726923942566,0.435868501663208,0.3659045398235321,0.2930111289024353,0.2227563112974167,0.15984377264976501,0.10738981515169144,0.06684000790119171,0.03809710592031479,0.019662830978631973,0.009080756455659866,0.0036934090312570333,0.0012968606315553188,0.0003848070919048041,0.00009398046677233651,0.000018707023627939634,
