TR,MMean,RMean,Vs30
31,6.849441057578057,134.84486828063586,760
225,7.124720648976985,85.62076071428253,760
475,7.116994458435417,57.249925221419645,760
975,7.065582467827845,29.13078421252391,760
2475,7.054778554430285,11.765164260382171,760
