# Layer: hcurves-10y
# Investigation time: 1.0
imt,stat,lat,lon,iml_0.001,iml_0.0015656065579430964,iml_0.0024511238942744305,iml_0.0038374956432070686,iml_0.0060080083450830485,iml_0.009406177265238874,iml_0.014726372811633234,iml_0.023055705848607912,iml_0.036096164274587554,iml_0.05651239150488561,iml_0.08847617074509666,iml_0.13851887314021646,iml_0.21686605618721055,iml_0.3395269197619529,iml_0.531565572177533,iml_0.83222254577792
PGA,mean,3.867,-67.919,0.011674421839416027,0.008988332003355026,0.006617494393140078,0.0046702902764081955,0.003161247819662094,0.002050523180514574,0.0012725729029625654,0.0007537782657891512,0.0004244738374836743,0.00022593203175347298,0.00011263474880252033,0.000051878392696380615,0.000021639763872371987,,,
PGA,quantile-0.15,3.867,-67.919,0.00928717851638794,0.00692733796313405,0.004973971750587225,0.003449995769187808,0.0023097132798284292,0.0014878317015245557,0.0009190331911668181,0.0005424381233751774,0.0003045282210223377,0.0001615289511391893,0.0000800576017354615,0.00003639971691882238,0.00001475502722314559,,,
PGA,quantile-0.85,3.867,-67.919,0.014067417941987514,0.010951127856969833,0.008067993447184563,0.0056394897401332855,0.0037486779037863016,0.0023746052756905556,0.001436030026525259,0.0008849060395732522,0.0005179194849915802,0.000284119276329875,0.00014420617662835866,0.00006646501424256712,0.000027138674340676516,,,
SA(0.1),mean,3.867,-67.919,0.014629376120865345,0.012135506607592106,0.00965465884655714,0.007381848059594631,0.00543298851698637,0.0038497692439705133,0.002623984357342124,0.001717415521852672,0.0010767849162220955,0.0006445182953029871,0.0003664976975414902,0.00019660902034956962,0.0000985007209237665,0.00004544765761238523,0.00001895884815894533,
SA(0.1),quantile-0.15,3.867,-67.919,0.012187346816062927,0.009738939814269543,0.007481532637029886,0.005550500471144915,0.003984531853348017,0.0027631239499896765,0.0018438783008605242,0.0011790888383984566,0.0007195656071417034,0.0004171870241407305,0.00022842480393592268,0.00011708005331456661,0.00005539264020626433,0.000023671926101087593,,
SA(0.1),quantile-0.85,3.867,-67.919,0.01805371604859829,0.015445911325514317,0.01256575994193554,0.009733635000884533,0.007198613602668047,0.005096754990518093,0.0034632240422070026,0.0022616444621235132,0.0014194231480360031,0.0008546121534891427,0.0004918714403174818,0.00026920740492641926,0.00013906415551900864,0.00006709785520797595,0.000029799864933011122,0.000011942028322664555
SA(0.2),mean,3.867,-67.919,0.015863467007875443,0.013305769301950932,0.01061251200735569,0.00806242786347866,0.0058493101969361305,0.004060603212565184,0.002699303673580289,0.0017175577813759446,0.0010445138905197382,0.0006054338882677257,0.0003330337058287114,0.0001727324997773394,0.00008362186781596392,0.000037236197385936975,0.00001495282140240306,
SA(0.2),quantile-0.15,3.867,-67.919,0.01378205232322216,0.011238384991884232,0.008715907111763954,0.006462384015321732,0.004601269494742155,0.0031535516027361155,0.002078838413581252,0.0013142538955435157,0.0007938905619084835,0.00045618784497492015,0.0002479752292856574,0.00012652510486077517,0.00005985263123875484,0.00002575976941443514,,
SA(0.2),quantile-0.85,3.867,-67.919,0.01881626807153225,0.016192710027098656,0.013136615976691246,0.010039422661066055,0.007241271901875734,0.004941526800394058,0.0031989242415875196,0.0019694396760314703,0.0011549732880666852,0.0007057575858198106,0.0004145215207245201,0.00022811577946413308,0.00011608716158661991,0.00005367489575291984,0.000022049433027859777,
SA(0.3),mean,3.867,-67.919,0.015289503149688244,0.012545314617455006,0.009752504527568817,0.007198759820312262,0.005058070179075003,0.0033889503683894873,0.0021667706314474344,0.0013212846824899316,0.00076713552698493,0.00042270246194675565,0.00021993556583765894,0.00010722142906161025,0.00004839937901124358,0.000019900229744962417,,
SA(0.3),quantile-0.15,3.867,-67.919,0.01327713392674923,0.01071541290730238,0.008219939656555653,0.006019217427819967,0.004222514573484659,0.0028431478422135115,0.0018359834793955088,0.0010654362849891186,0.00058577029267326,0.00030604942003265023,0.00015148452075663954,0.00007047141843941063,0.000030378703741007484,0.000011910437933693174,,
SA(0.3),quantile-0.85,3.867,-67.919,0.017431987449526787,0.014438739977777004,0.011222335509955883,0.008189616724848747,0.005620782729238272,0.0036341410595923662,0.002260127104818821,0.0014620302245020866,0.0008993423543870449,0.0005231627728790045,0.0002856214705388993,0.00014476895739790052,0.00006712994945701212,0.000027948617571382783,0.000010204306818195619,
SA(0.5),mean,3.867,-67.919,0.01340053416788578,0.01051541417837143,0.007795456796884537,0.005466490518301725,0.003629765473306179,0.0022841792088001966,0.0013626562431454659,0.0007703106384724379,0.00041200913256034255,0.00020783598301932216,0.00009834351658355445,0.00004326063208281994,0.00001746476482367143,,,
SA(0.5),quantile-0.15,3.867,-67.919,0.011455937288701534,0.008885764516890049,0.006542476359754801,0.004482269287109375,0.002855830593034625,0.001712817931547761,0.000968898122664541,0.0005182099412195385,0.0002626137575134635,0.00012613020953722298,0.00005723170761484653,0.000024302229576278478,,,,
SA(0.5),quantile-0.85,3.867,-67.919,0.014066720381379128,0.011026820167899132,0.008474758826196194,0.006164220627397299,0.004241815768182278,0.002759436843916774,0.0016954056918621063,0.0009823464788496494,0.0005352217704057693,0.00027278551715426147,0.00012896758562419564,0.000055899337894516066,0.000021871597709832713,,,
SA(0.7),mean,3.867,-67.919,0.010802924633026123,0.008093085139989853,0.0057392241433262825,0.0038527161814272404,0.0024475366808474064,0.001470378483645618,0.0008345665992237628,0.0004468787519726902,0.0002251536352559924,0.000106273393612355,0.00004666423046728596,0.000018857745089917444,,,,
SA(0.7),quantile-0.15,3.867,-67.919,0.009259877726435661,0.006766588892787695,0.0046581728383898735,0.0030204160138964653,0.001845011836849153,0.0010622537229210138,0.0005772672011516988,0.0002966798492707312,0.00014434207696467638,0.000066386979597155,0.000028711476261378266,0.00001154484834842151,,,,
SA(0.7),quantile-0.85,3.867,-67.919,0.011180189438164234,0.008565269410610199,0.006225236691534519,0.004274650476872921,0.0027684043161571026,0.0016881016781553626,0.0009677789639681578,0.0005206025671213865,0.0002676078584045172,0.00012910524674225599,0.00005773309385403991,0.000023654789401916787,,,,
SA(1.0),mean,3.867,-67.919,0.007991975173354149,0.005697965156286955,0.0038520179223269224,0.002466415986418724,0.0014935226645320654,0.000854176003485918,0.00046074186684563756,0.00023387827968690544,0.00011131502833450213,0.00004939782593282871,0.000020259070879546925,,,,,
SA(1.0),quantile-0.15,3.867,-67.919,0.006757848430424929,0.004705836996436119,0.0030964098405092955,0.0019233280327171087,0.0011269013630226254,0.0006231489242054522,0.00032577599631622434,0.00016125006368383765,0.00007553652540082112,0.00003339265822432935,0.000013812799807055853,,,,,
SA(1.0),quantile-0.85,3.867,-67.919,0.008472176268696785,0.006106439977884293,0.004190145060420036,0.002735696965828538,0.0016966245602816343,0.000996712245978415,0.0005524767911992967,0.0002875385689549148,0.0001396810548612848,0.0000628438065177761,0.00002590624353615567,,,,,
SA(1.5),mean,3.867,-67.919,0.00516017060726881,0.003467450849711895,0.0022063583601266146,0.0013265329180285335,0.000752369174733758,0.0004019559419248253,0.00020185616449452937,0.00009495388076175004,0.00004162736877333373,0.000016877573216333985,,,,,,
SA(1.5),quantile-0.15,3.867,-67.919,0.004162777680903673,0.002744579454883933,0.0017132825450971723,0.0010110035073012114,0.0005639434675686061,0.000297694030450657,0.00014881655806675553,0.0000703807090758346,0.00003139906038995832,0.000013109346582496073,,,,,,
SA(1.5),quantile-0.85,3.867,-67.919,0.005630119238048792,0.003831541398540139,0.002475788351148367,0.0015159090980887413,0.0008771544089540839,0.0004778082075063139,0.00024381493858527392,0.00011580706632230431,0.000050777875003404915,0.000020338125978014432,,,,,,
SA(2.0),mean,3.867,-67.919,0.003452640026807785,0.002210417063906789,0.0013377487193793058,0.0007639788673259318,0.0004111070593353361,0.0002080153935821727,0.00009863924788078293,0.000043612151785055175,0.000017843502064351924,,,,,,,
SA(2.0),quantile-0.15,3.867,-67.919,0.00261608581058681,0.00164421193767339,0.0009787767194211483,0.000551857752725482,0.0002948845794890076,0.00014927133452147245,0.00007142598769860342,0.00003216408003936522,0.000013510494682122953,,,,,,,
SA(2.0),quantile-0.85,3.867,-67.919,0.0038713114336133003,0.0025127683766186237,0.0015452145598828793,0.0008981198770925403,0.0004917656187899411,0.00025253937928937376,0.00012092785618733615,0.00005357392365112901,0.000021748875951743685,,,,,,,
SA(2.5),mean,3.867,-67.919,0.0024025458842515945,0.0014794421149417758,0.000860859639942646,0.0004727835475932807,0.00024472130462527275,0.00011908287706319243,0.00005424932896858081,0.000022982554582995363,,,,,,,,
SA(2.5),quantile-0.15,3.867,-67.919,0.0018664139788597822,0.0011287942761555314,0.0006461519515141845,0.0003501557803247124,0.00017956951342057437,0.00008697553857928142,0.000039639802707824856,0.000016862726624822244,,,,,,,,
SA(2.5),quantile-0.85,3.867,-67.919,0.002720123389735818,0.0017099323449656367,0.0010190332541242242,0.0005743466317653656,0.00030510537908412516,0.0001520539226476103,0.00007064289093250409,0.000030356419301824644,0.000011949003237532452,,,,,,,
SA(3.0),mean,3.867,-67.919,0.0017838297644630075,0.001066122786141932,0.0006018364219926298,0.00032063829712569714,0.00016098585911095142,0.0000759587564971298,0.00003351963096065447,0.000013724788914259989,,,,,,,,
SA(3.0),quantile-0.15,3.867,-67.919,0.0014512561028823256,0.0008527722675353289,0.0004731909721158445,0.00024789656163193285,0.00012248125858604908,0.00005692535705748014,0.00002475718065397814,,,,,,,,,
SA(3.0),quantile-0.85,3.867,-67.919,0.0020171732176095247,0.0012381293345242739,0.0007210198673419654,0.00039739059866406024,0.00020654209947679192,0.00010073398152599111,0.00004580272070597857,0.00001926461118273437,,,,,,,,
SA(4.0),mean,3.867,-67.919,0.0010956944897770882,0.0006272831233218312,0.00033854873618111014,0.00017199631838593632,0.00008200486627174541,0.00003650575308711268,0.00001503870589658618,,,,,,,,,
SA(4.0),quantile-0.15,3.867,-67.919,0.0009437749977223575,0.0005278376629576087,0.00027713802410289645,0.00013647241576109082,0.00006222813681233674,0.000026004066967288963,0.000010228899554931559,,,,,,,,,
SA(4.0),quantile-0.85,3.867,-67.919,0.001261807745322585,0.0007540014339610934,0.00042667193338274956,0.00022752117365598679,0.00011358827032381669,0.00005266429434414022,0.000022460972104454413,,,,,,,,,
SA(5.0),mean,3.867,-67.919,0.0007298233103938401,0.0004041090724058449,0.0002109490887960419,0.00010359503357904032,0.000047658802941441536,0.00002038778802671004,,,,,,,,,,
SA(5.0),quantile-0.15,3.867,-67.919,0.0006336286896839738,0.00032639640267007053,0.0001569155720062554,0.00007072473090374842,0.00003005946200573817,0.00001207648529089056,,,,,,,,,,
SA(5.0),quantile-0.85,3.867,-67.919,0.0008590951329097152,0.000503558840136975,0.00027948321076110005,0.00014596304390579462,0.00007115943299140781,0.000032076157367555425,0.000013218562344263773,,,,,,,,,
