# Layer: hcurves-10y
# Investigation time: 1.0
imt,stat,lat,lon,iml_0.001,iml_0.0015656065579430964,iml_0.0024511238942744305,iml_0.0038374956432070686,iml_0.0060080083450830485,iml_0.009406177265238874,iml_0.014726372811633234,iml_0.023055705848607912,iml_0.036096164274587554,iml_0.05651239150488561,iml_0.08847617074509666,iml_0.13851887314021646,iml_0.21686605618721055,iml_0.3395269197619529,iml_0.531565572177533,iml_0.83222254577792
PGA,mean,1.251,-70.235,0.01571042090654373,0.011634256690740585,0.00819062627851963,0.005512304604053497,0.0035630830097943544,0.0022193489130586386,0.0013340137666091323,0.0007727305055595934,0.0004292857483960688,0.00022689125034958124,0.00011277120211161673,0.00005188940849620849,0.000021640400518663228,,,
PGA,quantile-0.15,1.251,-70.235,0.012088621966540813,0.008612312376499176,0.005873574875295162,0.003870986169204116,0.002479292219504714,0.0015451052458956838,0.0009346310980618,0.000545651011634618,0.00030498843989335,0.00016156543279066682,0.00008005806739674881,0.00003639956412371248,0.000014754794392501935,,,
PGA,quantile-0.85,1.251,-70.235,0.01955540105700493,0.014704685658216476,0.010391639545559883,0.006931006908416748,0.004386670421808958,0.002650914015248418,0.0015390890184789896,0.0009079895680770278,0.0005244856583885849,0.00028562796069309115,0.00014446998829953372,0.00006649600982200354,0.000027140444217366166,,,
SA(0.1),mean,1.251,-70.235,0.02032790519297123,0.01639644056558609,0.012600848451256752,0.00925391260534525,0.006518333684653044,0.004418674856424332,0.0028908844105899334,0.0018281466327607632,0.0011167899938300252,0.0006568451644852757,0.0003696458297781646,0.00019724637968465686,0.00009859181591309607,0.000045454253267962486,0.000018959239241667092,
SA(0.1),quantile-0.15,1.251,-70.235,0.016497232019901276,0.012745535001158714,0.0093923294916749,0.006647391710430384,0.004547046031802893,0.0030169268138706684,0.0019425902282819152,0.001211271621286869,0.0007279920391738415,0.0004188518796581775,0.00022865076607558876,0.00011709517275448889,0.00005539265112020075,0.000023671720555284992,,
SA(0.1),quantile-0.85,1.251,-70.235,0.02597515657544136,0.02172613888978958,0.017156733199954033,0.012809625826776028,0.00907535944133997,0.0061309500597417355,0.003973441664129496,0.0024844612926244736,0.0015042576706036925,0.0008821514202281833,0.0004992616595700383,0.00027077653794549406,0.00013929695705883205,0.00006711515743518248,0.000029800508855259977,0.000011942576747969724
SA(0.2),mean,1.251,-70.235,0.02235577069222927,0.018289176747202873,0.014123178087174892,0.010316572152078152,0.007159381173551083,0.004744346719235182,0.0030166914220899343,0.0018469840288162231,0.001090098638087511,0.0006189728737808764,0.0003363149880897254,0.00017334954463876784,0.00008370243449462578,0.00003724193084053695,0.00001495328797318507,
SA(0.2),quantile-0.15,1.251,-70.235,0.019022757187485695,0.015086445957422256,0.011279821395874023,0.008000613190233707,0.00542420381680131,0.0035418488550931215,0.00223801308311522,0.001369695644825697,0.0008097600075416267,0.0004597281804308295,0.0002485479926690459,0.00012658003834076226,0.000059853824495803565,0.000025759565687621944,,
SA(0.2),quantile-0.85,1.251,-70.235,0.027287645265460014,0.023011984303593636,0.018159545958042145,0.013399477116763592,0.00926977302879095,0.006038006395101547,0.0037246989086270332,0.002190470229834318,0.0012350303586572409,0.0007182217086665332,0.0004180011455900967,0.00022890303807798773,0.00011622285092016682,0.000053690324421040714,0.000022050329789635725,
SA(0.3),mean,1.251,-70.235,0.021469896659255028,0.017147056758403778,0.01287891622632742,0.009125113487243652,0.006127194967120886,0.003919100388884544,0.00239924481138587,0.001410112832672894,0.0007961251540109515,0.0004305624170228839,0.00022163716494105756,0.0001074994943337515,0.000048430272727273405,0.000019902594431187026,,
SA(0.3),quantile-0.15,1.251,-70.235,0.018251439556479454,0.014313017018139362,0.010579127818346024,0.007410514634102583,0.004953019320964813,0.0031809438951313496,0.0019715023227036,0.0011597661068663,0.0006162961362861097,0.0003140978515148163,0.00015310515300370753,0.00007069684215821326,0.00003039422881556675,0.000011910475222975947,,
SA(0.3),quantile-0.85,1.251,-70.235,0.02505483478307724,0.020264625549316406,0.01526973582804203,0.010731800459325314,0.007055740803480148,0.004355641081929207,0.002538156695663929,0.0015553851844742894,0.0009337823721580207,0.0005341013893485069,0.0002885331632569432,0.0001453910517739132,0.00006722837133565918,0.000027958170903730206,0.000010204912541667,
SA(0.5),mean,1.251,-70.235,0.018592793494462967,0.014168065041303635,0.010137399658560753,0.006827530451118946,0.004341654479503632,0.0026163484435528517,0.0014991362113505602,0.0008188078063540161,0.0004265560710337013,0.0002113835362251848,0.00009901051089400426,0.0000433499226346612,0.00001747274654917419,,,
SA(0.5),quantile-0.15,1.251,-70.235,0.015500204637646675,0.01164113637059927,0.008239750750362873,0.005521656945347786,0.0034447049256414175,0.001984629314392805,0.0010788708459585905,0.000556328275706619,0.00027354469057172537,0.00012855730892624706,0.00005761126521974802,0.000024336382921319455,,,,
SA(0.5),quantile-0.85,1.251,-70.235,0.019781623035669327,0.014889703132212162,0.011101306416094303,0.007790687028318644,0.005153112579137087,0.003217576537281275,0.0018998261075466871,0.0010621326509863138,0.0005619486328214407,0.00028027495136484504,0.00013065137318335474,0.00005618317663902417,0.00002190294071624521,,,
SA(0.7),mean,1.251,-70.235,0.014630277641117573,0.010605174116790295,0.007244447246193886,0.004670917056500912,0.0028475699946284294,0.0016439881874248385,0.0009002286824397743,0.00046798933180980384,0.00023071345640346408,0.000107400024717208,0.000046825105528114364,0.000018871462089009583,,,,
SA(0.7),quantile-0.15,1.251,-70.235,0.012384575791656971,0.00883819255977869,0.005894420202821493,0.0036916323006153107,0.0021734610199928284,0.0012048990465700626,0.0006311103352345526,0.00031383300665766,0.00014872316387481987,0.00006720762030454352,0.000028811642550863326,0.000011550269846338779,,,,
SA(0.7),quantile-0.85,1.251,-70.235,0.015106621198356152,0.011286638677120209,0.007938756607472897,0.0052588945254683495,0.0032798429019749165,0.0019254052313044667,0.001064388663507998,0.0005543577717617154,0.0002716716844588518,0.0001296012633247301,0.00005778066042694263,0.00002365642285440117,,,,
SA(1.0),mean,1.251,-70.235,0.010471622459590435,0.0072047291323542595,0.004688620567321777,0.002887097653001547,0.0016824170015752316,0.0009284784318879247,0.0004857043386436999,0.00024078437127172947,0.00011279052705504,0.00004961895683663897,0.000020277750081731938,,,,,
SA(1.0),quantile-0.15,1.251,-70.235,0.00884236954152584,0.0059797512367367744,0.0038115575443953276,0.0022884560748934746,0.0012937251012772322,0.0006899459986016154,0.0003485879278741777,0.00016761751612648368,0.00007688207551836967,0.00003358829053468071,0.0000138281111503602,,,,,
SA(1.0),quantile-0.85,1.251,-70.235,0.010948196053504944,0.007560779806226492,0.004960699938237667,0.0031006685458123684,0.001849238178692758,0.0010520478244870901,0.0005694323917850852,0.0002917885722126812,0.00014049063611309975,0.00006294241757132113,0.0000259110802289797,,,,,
SA(1.5),mean,1.251,-70.235,0.006500141229480505,0.004216407425701618,0.0025871247053146362,0.0014997667167335749,0.0008214479894377291,0.00042546342592686415,0.00020842906087636948,0.00009636943286750466,0.000041839579353109,0.000016894578948267736,,,,,,
SA(1.5),quantile-0.15,1.251,-70.235,0.005247737746685743,0.003358586924150586,0.002030742121860385,0.0011582440929487348,0.000623886298853904,0.00031853915425017476,0.00015476351836696267,0.00007167799776652828,0.00003159866537316702,0.000013127014426572714,,,,,,
