# Layer: hcurves-10y
# Investigation time: 1.0
imt,stat,lat,lon,iml_0.001,iml_0.0015656065579430964,iml_0.0024511238942744305,iml_0.0038374956432070686,iml_0.0060080083450830485,iml_0.009406177265238874,iml_0.014726372811633234,iml_0.023055705848607912,iml_0.036096164274587554,iml_0.05651239150488561,iml_0.08847617074509666,iml_0.13851887314021646,iml_0.21686605618721055,iml_0.3395269197619529,iml_0.531565572177533,iml_0.83222254577792,iml_1.3029330753380104,iml_2.039880567310154,iml_3.193650393601467
PGA,mean,5.058,-75.491,0.5861067771911621,0.5088576674461365,0.42337971925735474,0.33559364080429077,0.25171959400177,0.17768020927906036,0.11769428849220276,0.07305523753166199,0.042330384254455566,0.022686071693897247,0.01108585949987173,0.004853238817304373,0.001866986625827849,0.0006182591314427555,0.0001720521249808371,0.00003883519093506038,,,
PGA,quantile-0.15,5.058,-75.491,0.528465986251831,0.44979327917099,0.3712235391139984,0.29530423879623413,0.21865513920783997,0.15191440284252167,0.10106062889099121,0.06267232447862625,0.036261215806007385,0.01948484219610691,0.009614539332687855,0.004262243863195181,0.0015931614907458425,0.000546588096767664,0.0001539104850962758,0.0000329499198414851,,,
PGA,quantile-0.85,5.058,-75.491,0.6442166566848755,0.5679731369018555,0.4760555624961853,0.3758774995803833,0.280259907245636,0.1971733719110489,0.13083785772323608,0.08187144994735718,0.04789659380912781,0.025933299213647842,0.012767692096531391,0.0055895037949085236,0.0021838746033608913,0.0007022116333246231,0.0001918904745252803,0.00004347958747530356,,,
SA(0.1),mean,5.058,-75.491,0.6522607207298279,0.5954711437225342,0.5267532467842102,0.4495764970779419,0.36845430731773376,0.2883780300617218,0.21437636017799377,0.15073563158512115,0.10000113397836685,0.0624639056622982,0.03656785190105438,0.019887052476406097,0.009916394017636776,0.004462173208594322,0.0017801006324589252,0.0006162525969557464,0.00017944784485735,0.00004194952634861693,
SA(0.1),quantile-0.15,5.058,-75.491,0.6061583161354065,0.5387661457061768,0.4625483751296997,0.39016270637512207,0.31833288073539734,0.24947190284729004,0.18146122992038727,0.12531238794326782,0.08375619351863861,0.05189627781510353,0.030479934066534042,0.01635337807238102,0.007681591436266899,0.0034142539370805025,0.0012900447472929955,0.0003898665599990636,0.00009540470637148246,0.00001827793130360078,
SA(0.1),quantile-0.85,5.058,-75.491,0.717721700668335,0.6724328398704529,0.6086535453796387,0.5277847647666931,0.43578627705574036,0.3402101397514343,0.2506011128425598,0.17688919603824615,0.11735306680202484,0.07252107560634613,0.042455874383449554,0.023596609011292458,0.012179043143987656,0.005720021203160286,0.0023513822816312313,0.0008180018630810082,0.0002508640754967928,0.00006418977136490867,0.000011726801858458202
SA(0.2),mean,5.058,-75.491,0.6754816174507141,0.622009813785553,0.5532146692276001,0.4724246561527252,0.3852129578590393,0.29831475019454956,0.21838849782943726,0.15068399906158447,0.09784457832574844,0.05967432260513306,0.03400076925754547,0.017915835604071617,0.008612556383013725,0.0037189072463661432,0.0014184730825945735,0.00046867309720255435,0.00013059975754003972,0.000029598662877106108,
SA(0.2),quantile-0.15,5.058,-75.491,0.6412867307662964,0.5799108743667603,0.504766047000885,0.42254403233528137,0.344617635011673,0.2693502902984619,0.19543588161468506,0.13312138617038727,0.08619700372219086,0.05261865258216858,0.029509881511330605,0.01554521918296814,0.007443541195243597,0.0030536341946572065,0.0011050681350752711,0.000346140906913206,0.00009219757339451462,0.00001975589111680165,
SA(0.2),quantile-0.85,5.058,-75.491,0.7256177067756653,0.681052565574646,0.6160396337509155,0.531767725944519,0.43394729495048523,0.3322218358516693,0.23986166715621948,0.16437499225139618,0.10707294940948486,0.06550422310829163,0.03814125806093216,0.020532725378870964,0.01007379125803709,0.004446492996066809,0.0017218515276908875,0.0005885896971449256,0.00018318129878025502,0.000045237735321279615,
SA(0.3),mean,5.058,-75.491,0.665662407875061,0.6059245467185974,0.5304411053657532,0.4437698721885681,0.3525986969470978,0.2644909918308258,0.18645547330379486,0.12323931604623795,0.07625620067119598,0.04401261359453201,0.023505857214331627,0.011481130495667458,0.0050603486597537994,0.0019835513085126877,0.0006808642065152526,0.00020147155737504363,0.00005036868606111966,0.000010292202205164358,
SA(0.3),quantile-0.15,5.058,-75.491,0.6293430924415588,0.566253662109375,0.4923454821109772,0.41115841269493103,0.3294214606285095,0.2470858097076416,0.1719907969236374,0.11353473365306854,0.06915926188230515,0.039027683436870575,0.02022378146648407,0.009541843086481094,0.004075235221534967,0.001542000798508525,0.0005049743340350688,0.00013950203720014542,0.00003162856592098251,,
SA(0.3),quantile-0.85,5.058,-75.491,0.7039570808410645,0.6473346948623657,0.5699317455291748,0.4759211838245392,0.37640658020973206,0.28168773651123047,0.2007259726524353,0.13456346094608307,0.0839916542172432,0.04961425065994263,0.026696231216192245,0.013390105217695236,0.006131522823125124,0.002531248377636075,0.0009241890511475503,0.00028713393840007484,0.00007144777191570029,0.000013152603060007095,
SA(0.5),mean,5.058,-75.491,0.6235005855560303,0.5506314635276794,0.464789479970932,0.3722483515739441,0.28071126341819763,0.19803749024868011,0.13017724454402924,0.07951481640338898,0.0449523888528347,0.02335354872047901,0.01104982104152441,0.004717535339295864,0.0017990636406466365,0.0006067439680919051,0.00018001941498368979,0.0000464899894723203,0.000010117612873727921,,
SA(0.5),quantile-0.15,5.058,-75.491,0.5869379043579102,0.5131660103797913,0.4296306371688843,0.3438960015773773,0.2560913860797882,0.176344633102417,0.1145273894071579,0.06894078850746155,0.037613533437252045,0.018882840871810913,0.008538399823009968,0.0034655570052564144,0.001201361301355064,0.0003713300684466958,0.0001025628880597651,0.000022493846699944697,,,
SA(0.5),quantile-0.85,5.058,-75.491,0.6374313235282898,0.5742224454879761,0.4965033531188965,0.4086969792842865,0.3174682855606079,0.22947783768177032,0.15093722939491272,0.09250908344984055,0.05288507044315338,0.02764922007918358,0.013060119934380054,0.005917130503803492,0.0024046925827860832,0.0008436854113824666,0.0002501170674804598,0.00006347925955196843,0.000012967417205800302,,
SA(0.7),mean,5.058,-75.491,0.5572793483734131,0.47442975640296936,0.3843322694301605,0.29386645555496216,0.2104795128107071,0.14042052626609802,0.08691570162773132,0.04971252754330635,0.026126714423298836,0.012538640759885311,0.0054645901545882225,0.002149232430383563,0.0007568667642772198,0.00023637560661882162,0.00006462627789005637,0.000014839603863947559,,,
SA(0.7),quantile-0.15,5.058,-75.491,0.520444929599762,0.4393731951713562,0.3545222878456116,0.2669980823993683,0.18646392226219177,0.12324298918247223,0.07512762397527695,0.0411805622279644,0.020830629393458366,0.009598401375114918,0.0038932294119149446,0.001275243004783988,0.0003837327240034938,0.00010341291635995731,0.000023973581846803427,,,,
SA(0.7),quantile-0.85,5.058,-75.491,0.5777965784072876,0.5018151998519897,0.4163820147514343,0.327324777841568,0.23690631985664368,0.15859124064445496,0.09967830032110214,0.0583229586482048,0.030385132879018784,0.015172376297414303,0.007157119456678629,0.003087826306000352,0.0011580189457163215,0.00037386981421150267,0.00010045095405075699,0.00002199895607191138,,,
SA(1.0),mean,5.058,-75.491,0.4719564616680145,0.3849498927593231,0.29739946126937866,0.21580000221729279,0.1460552215576172,0.09175238758325577,0.05329785868525505,0.028520604595541954,0.014013567008078098,0.006308228708803654,0.0025928611867129803,0.0009661523508839309,0.0003219223872292787,0.00009406743629369885,0.000023222906747832894,,,,
SA(1.0),quantile-0.15,5.058,-75.491,0.4398761987686157,0.3602604568004608,0.2720221281051636,0.19443675875663757,0.12988154590129852,0.08002676069736481,0.04527302831411362,0.022582106292247772,0.01059317123144865,0.004129416309297085,0.0013685442972928286,0.0004179824027232826,0.00011118667316623032,0.000028491542252595536,,,,,
SA(1.0),quantile-0.85,5.058,-75.491,0.49433451890945435,0.41138121485710144,0.32168543338775635,0.23543885350227356,0.16219229996204376,0.10267191380262375,0.06117495521903038,0.033140879124403,0.01759537309408188,0.008711334317922592,0.003955557011067867,0.001644898671656847,0.0005961523274891078,0.00018106642528437078,0.00004775162960868329,,,,
