# Layer: hcurves-10y
# Investigation time: 1.0
imt,stat,lat,lon,iml_0.001,iml_0.0015656065579430964,iml_0.0024511238942744305,iml_0.0038374956432070686,iml_0.0060080083450830485,iml_0.009406177265238874,iml_0.014726372811633234,iml_0.023055705848607912,iml_0.036096164274587554,iml_0.05651239150488561,iml_0.08847617074509666,iml_0.13851887314021646,iml_0.21686605618721055,iml_0.3395269197619529,iml_0.531565572177533,iml_0.83222254577792,iml_1.3029330753380104,iml_2.039880567310154,iml_3.193650393601467
PGA,mean,4.805,-75.719,0.5732779502868652,0.49848973751068115,0.41718533635139465,0.3346806466579437,0.2563285827636719,0.18706759810447693,0.1301235854625702,0.08618231862783432,0.05397693067789078,0.03151621297001839,0.016826163977384567,0.008039958775043488,0.00335911032743752,0.0011938591487705708,0.00034889837843365967,0.00007958830974530429,0.000013078425581625197,,
PGA,quantile-0.15,4.805,-75.719,0.5176400542259216,0.4431930482387543,0.3704833686351776,0.2979706823825836,0.22545185685157776,0.1635924130678177,0.11129845678806305,0.07214491069316864,0.04469682648777962,0.025682417675852776,0.013340147212147713,0.006194139830768108,0.0025487395469099283,0.0009209565469063818,0.00028552007279358804,0.00006670644506812096,,,
PGA,quantile-0.85,4.805,-75.719,0.6295807361602783,0.5547288656234741,0.46589773893356323,0.3701690137386322,0.2804144322872162,0.2044604867696762,0.14411398768424988,0.09848888963460922,0.0638633444905281,0.038551703095436096,0.021115677431225777,0.010051705874502659,0.004252309910953045,0.0015376752708107233,0.00043576693860813975,0.00009331195906270295,0.00001582395998411812,,
SA(0.1),mean,4.805,-75.719,0.6385345458984375,0.5822805166244507,0.5155616998672485,0.4418987035751343,0.36537662148475647,0.2903367578983307,0.22112679481506348,0.16129441559314728,0.11266350001096725,0.0751679539680481,0.04752339795231819,0.028082571923732758,0.015238426625728607,0.007448046933859587,0.003213598160073161,0.0011968231992796063,0.00037354030064307153,0.00009324231359641999,0.000017270791431656107
SA(0.1),quantile-0.15,4.805,-75.719,0.5934563875198364,0.527163028717041,0.45467549562454224,0.38729989528656006,0.32097792625427246,0.2539658844470978,0.1910358965396881,0.1383109837770462,0.09392054378986359,0.061316292732954025,0.03867657482624054,0.023013407364487648,0.011592678725719452,0.005192273762077093,0.00225982628762722,0.0006919231382198632,0.00018025346798822284,0.00003665046097012237,
SA(0.1),quantile-0.85,4.805,-75.719,0.7026948928833008,0.6573963761329651,0.5944384336471558,0.5156145095825195,0.4273034334182739,0.33675697445869446,0.25548046827316284,0.18536876142024994,0.1288994699716568,0.08737580478191376,0.05730973929166794,0.034275878220796585,0.018557768315076828,0.009171812795102596,0.004014910664409399,0.0015459536807611585,0.0005166582996025681,0.00013925036182627082,0.000028444737836252898
SA(0.2),mean,4.805,-75.719,0.6621673107147217,0.6087687015533447,0.5413917303085327,0.4637259244918823,0.38111355900764465,0.2995705306529999,0.22482125461101532,0.16114041209220886,0.11036501824855804,0.07201837748289108,0.04436531662940979,0.025410277768969536,0.013284962624311447,0.006221017334610224,0.002557735424488783,0.0009013323578983545,0.0002636862627696246,0.00006109233800088987,0.000010398379345133435
SA(0.2),quantile-0.15,4.805,-75.719,0.6297668814659119,0.5683764219284058,0.4953698217868805,0.41797542572021484,0.3453308641910553,0.27305853366851807,0.2034418284893036,0.14428205788135529,0.09570210427045822,0.06063463166356087,0.03658667951822281,0.020787391811609268,0.010498720221221447,0.004631225951015949,0.0018058203859254718,0.0006202241056598723,0.00018084445036947727,0.00004181625263299793,
SA(0.2),quantile-0.85,4.805,-75.719,0.710902988910675,0.6661719083786011,0.6017599105834961,0.5195609331130981,0.4254501760005951,0.32897883653640747,0.24320107698440552,0.174940288066864,0.12139084190130234,0.08128464221954346,0.051142845302820206,0.0300140380859375,0.016183316707611084,0.007857191376388073,0.003262912156060338,0.001136089558713138,0.00033817713847383857,0.00008121068094624206,0.000014759076293557882
SA(0.3),mean,4.805,-75.719,0.652521550655365,0.5931903719902039,0.5196620225906372,0.43672996759414673,0.35066378116607666,0.26811179518699646,0.1949453353881836,0.13485360145568848,0.08866105228662491,0.055062759667634964,0.031898923218250275,0.01695321872830391,0.008122101426124573,0.003444382455199957,0.0012649818090721965,0.0003919578739441931,0.00009902118472382426,0.00001924228490679525,
SA(0.3),quantile-0.15,4.805,-75.719,0.6181023716926575,0.5552064180374146,0.48384013772010803,0.40766942501068115,0.33105823397636414,0.2509373724460602,0.18169233202934265,0.12246616929769516,0.07761460542678833,0.04622408002614975,0.025897521525621414,0.013210917823016644,0.006080579943954945,0.0025002961046993732,0.0008991514332592487,0.0002698342432267964,0.00006598448089789599,0.000010775158443721011,
SA(0.3),quantile-0.85,4.805,-75.719,0.6892305612564087,0.6328461170196533,0.5567076802253723,0.4652853012084961,0.37059658765792847,0.282789945602417,0.20798735320568085,0.14612309634685516,0.10077675431966782,0.06453961133956909,0.0378488227725029,0.020963851362466812,0.010596582666039467,0.004597481805831194,0.0017466533463448286,0.0005246842629276216,0.00012959759624209255,0.000024476034013787284,
SA(0.5),mean,4.805,-75.719,0.6112213134765625,0.5399972796440125,0.4575332999229431,0.3698855936527252,0.28390610218048096,0.2061838060617447,0.14144103229045868,0.09144828468561172,0.05540335923433304,0.031125454232096672,0.016009673476219177,0.007443408016115427,0.003083735005930066,0.0011171289952471852,0.0003464395413175225,0.00008923721179598942,0.000018125869246432558,,
SA(0.5),quantile-0.15,4.805,-75.719,0.5765935182571411,0.5060169696807861,0.4262717664241791,0.3471570611000061,0.2598097622394562,0.1861608326435089,0.12441398203372955,0.07715898007154465,0.045085128396749496,0.024398112669587135,0.011944866739213467,0.005329497158527374,0.0020034611225128174,0.000674374052323401,0.00020054516789969057,0.0000523027811141219,0.000010828263839357533,,
SA(0.5),quantile-0.85,4.805,-75.719,0.6267921328544617,0.5646229982376099,0.48956307768821716,0.40688520669937134,0.32135504484176636,0.23246879875659943,0.15962234139442444,0.10586456954479218,0.06669308990240097,0.037774957716464996,0.02061779797077179,0.010177801363170147,0.004426584579050541,0.0016692468198016286,0.0005147604388184845,0.00012310982856433839,0.000020472807591431774,,
SA(0.7),mean,4.805,-75.719,0.546647310256958,0.4669959247112274,0.38158851861953735,0.2965393662452698,0.2180907428264618,0.15126407146453857,0.0986139103770256,0.06010797247290611,0.03397414833307266,0.01764162816107273,0.008342728018760681,0.0035568270832300186,0.0013464739313349128,0.0004431437700986862,0.00012317342043388635,0.000027506303013069555,,,
SA(0.7),quantile-0.15,4.805,-75.719,0.5131171941757202,0.43619656562805176,0.3553203344345093,0.269417941570282,0.19703370332717896,0.1350841224193573,0.08430758863687515,0.048844557255506516,0.026289427652955055,0.013173835352063179,0.005816530901938677,0.002110801637172699,0.0006982533959671855,0.00020543645950965583,0.00005387068813433871,0.000012870873433712404,,,
SA(0.7),quantile-0.85,4.805,-75.719,0.5686469078063965,0.49534842371940613,0.4144551753997803,0.3292122185230255,0.23967710137367249,0.1696770340204239,0.11260997503995895,0.07019077986478806,0.04137531295418739,0.022473381832242012,0.011531543917953968,0.00522983493283391,0.002155615948140621,0.0007077951449900866,0.00019191867613699287,0.00003696108251460828,,,
SA(1.0),mean,4.805,-75.719,0.46474844217300415,0.38227033615112305,0.29987844824790955,0.2229839414358139,0.15636920928955078,0.10297705978155136,0.06338216364383698,0.03624601662158966,0.019144868478178978,0.009292886592447758,0.004117533564567566,0.0016443300992250443,0.0005792484153062105,0.0001743933098623529,0.000042912059143418446,,,,
SA(1.0),quantile-0.15,4.805,-75.719,0.43657147884368896,0.35817593336105347,0.2764715254306793,0.2044365108013153,0.14029990136623383,0.08944962173700333,0.052352894097566605,0.02797773852944374,0.014178147539496422,0.005968165583908558,0.0022259887773543596,0.0007525149267166853,0.0002271362318424508,0.00006186100654304028,0.000015502246242249385,,,,
SA(1.0),quantile-0.85,4.805,-75.719,0.4854341745376587,0.4060781002044678,0.32345184683799744,0.24238571524620056,0.17311757802963257,0.11638670414686203,0.07356511056423187,0.04345050826668739,0.024599192664027214,0.013146276585757732,0.006227652542293072,0.0027344233822077513,0.0010527699487283826,0.0003240361693315208,0.00008132883522193879,0.000013238728570286185,,,
SA(1.5),mean,4.805,-75.719,0.3624345362186432,0.28316789865493774,0.20971693098545074,0.14635597169399261,0.0957551822066307,0.05846484750509262,0.033183228224515915,0.017462028190493584,0.008501827716827393,0.0038108378648757935,0.0015544829657301307,0.000564404355827719,0.00017679684970062226,0.000045772434532409534,,,,,
SA(1.5),quantile-0.15,4.805,-75.719,0.33782824873924255,0.25855889916419983,0.19198600947856903,0.13039730489253998,0.08244454115629196,0.04846501350402832,0.025840971618890762,0.012447315268218517,0.005426361691206694,0.0020699382293969393,0.0007016145973466337,0.00021199355251155794,0.000057335386372869834,0.000013073635273030959,,,,,
SA(1.5),quantile-0.85,4.805,-75.719,0.38881760835647583,0.30423635244369507,0.22863130271434784,0.16239948570728302,0.10899043828248978,0.06789528578519821,0.04004688560962677,0.022675195708870888,0.012197216972708702,0.006023043300956488,0.00264986464753747,0.0010902183130383492,0.00039179399027489126,0.0001091743033612147,0.00002209840386058204,,,,
SA(2.0),mean,4.805,-75.719,0.2891017198562622,0.21626120805740356,0.15244469046592712,0.10069414228200912,0.06207362562417984,0.035639967769384384,0.019055521115660667,0.009485838003456593,0.004380154423415661,0.0018551778048276901,0.0007045030943118036,0.00023232914099935442,0.00006373089854605496,0.000013649650099978317,,,,,
SA(2.0),quantile-0.15,4.805,-75.719,0.2646186649799347,0.19738642871379852,0.1347249299287796,0.08721547573804855,0.051718443632125854,0.028329553082585335,0.013634665869176388,0.00622956408187747,0.0025316658429801464,0.0008442391990683973,0.00025355932302773,0.00006882975139888003,0.000017155383829958737,,,,,,
SA(2.0),quantile-0.85,4.805,-75.719,0.3138628304004669,0.23666249215602875,0.1684557944536209,0.1141146644949913,0.07172010838985443,0.04336608573794365,0.024579551070928574,0.013176748529076576,0.006679205689579248,0.003249682718887925,0.0014132261276245117,0.0005271396366879344,0.00014409371942747384,0.00003090172685915604,,,,,
SA(2.5),mean,4.805,-75.719,0.232656791806221,0.16731272637844086,0.11300800740718842,0.07139667123556137,0.04212469235062599,0.023227807134389877,0.011982790194451809,0.005772835109382868,0.0025756540708243847,0.0010443211067467928,0.00037398224230855703,0.00011378300405340269,0.00002797365050355438,,,,,,
SA(2.5),quantile-0.15,4.805,-75.719,0.2140112966299057,0.15028998255729675,0.10051961988210678,0.060442354530096054,0.03387563303112984,0.017009133473038673,0.008008724078536034,0.00332520785741508,0.0011906487634405494,0.00038554068305529654,0.00011349016131134704,0.00003107461452600546,,,,,,,
SA(2.5),quantile-0.85,4.805,-75.719,0.2501201331615448,0.18260064721107483,0.12505313754081726,0.0813102051615715,0.050197534263134,0.02939150668680668,0.016275785863399506,0.008652593940496445,0.004373976029455662,0.002091827569529414,0.0008663341286592185,0.0002731260610744357,0.00006390388443833217,0.000010232136446575169,,,,,
SA(3.0),mean,4.805,-75.719,0.19137492775917053,0.13286206126213074,0.08641638606786728,0.05254377797245979,0.02988368459045887,0.015925871208310127,0.007952657528221607,0.0037015851121395826,0.0015814396319910884,0.0006041352753527462,0.00019934798183385283,0.00005441275061457418,0.000011549927876330912,,,,,,
SA(3.0),quantile-0.15,4.805,-75.719,0.17626340687274933,0.11897913366556168,0.07384014874696732,0.04262606054544449,0.022854527458548546,0.011216719634830952,0.004764591343700886,0.0018400480039417744,0.000655377225484699,0.00021192205895204097,0.00005250380854704417,0.000013041203601460438,,,,,,,
SA(3.0),quantile-0.85,4.805,-75.719,0.2050633281469345,0.14452338218688965,0.09645536541938782,0.06149723380804062,0.03685561940073967,0.02081160992383957,0.011544858105480671,0.006019648164510727,0.0029104126151651144,0.0012275303015485406,0.0004173890920355916,0.00011128017649753019,0.00002125415085174609,,,,,,
SA(4.0),mean,4.805,-75.719,0.13421814143657684,0.08803876489400864,0.05411844328045845,0.03121856227517128,0.01693725399672985,0.008641388267278671,0.004120493307709694,0.0018054835963994265,0.0007070679566822946,0.00023883985704742372,0.00006667720299446955,0.000014453053154284135,,,,,,,
SA(4.0),quantile-0.15,4.805,-75.719,0.1218482106924057,0.07695013284683228,0.045793671160936356,0.02421758510172367,0.011895366944372654,0.00534571660682559,0.00206906464882195,0.0007026594248600304,0.00020684463379438967,0.0000542217239853926,0.000013885279258829542,,,,,,,,
SA(4.0),quantile-0.85,4.805,-75.719,0.14535067975521088,0.09748822450637817,0.06259176135063171,0.037747304886579514,0.02224883623421192,0.012708211317658424,0.006849384400993586,0.0033247764222323895,0.0014053770573809743,0.0005121909780427814,0.00014260747411753982,0.00003091552935075015,,,,,,,
SA(5.0),mean,4.805,-75.719,0.09656026214361191,0.06050068140029907,0.03565776348114014,0.019825302064418793,0.010411132127046585,0.005143153015524149,0.0023572177160531282,0.0009776479564607143,0.00035523087717592716,0.00010940007632598281,0.000027440870326245204,,,,,,,,
SA(5.0),quantile-0.15,4.805,-75.719,0.08583005517721176,0.05116771534085274,0.028204279020428658,0.014005661942064762,0.006334941368550062,0.002585719572380185,0.0009284805273637176,0.00029468798311427236,0.00008006229472812265,0.000020144365407759324,,,,,,,,,
SA(5.0),quantile-0.85,4.805,-75.719,0.10630389302968979,0.06955871731042862,0.04386720061302185,0.0260455459356308,0.015384259633719921,0.008397343568503857,0.004337174817919731,0.0019518467597663403,0.0007716912659816444,0.0002650711394380778,0.00007460355845978484,0.000016625426724203862,,,,,,,
