TR,MMean,RMean,Vs30
31,6.8725180499977085,167.74159520300958,760
225,7.478996816446359,137.44186745441223,760
475,7.642568216406996,126.77912537036735,760
975,7.742053496246977,117.19953707748154,760
2475,7.794141732207532,104.8989574792661,760
