# Layer: hcurves-10y
# Investigation time: 1.0
imt,stat,lat,lon,iml_0.001,iml_0.0015656065579430964,iml_0.0024511238942744305,iml_0.0038374956432070686,iml_0.0060080083450830485,iml_0.009406177265238874,iml_0.014726372811633234,iml_0.023055705848607912,iml_0.036096164274587554,iml_0.05651239150488561,iml_0.08847617074509666,iml_0.13851887314021646,iml_0.21686605618721055,iml_0.3395269197619529,iml_0.531565572177533,iml_0.83222254577792,iml_1.3029330753380104,iml_2.039880567310154
SA(0.3),quantile-0.15,6.249,-75.576,0.6342921257019043,0.5759206414222717,0.5050323009490967,0.42299404740333557,0.3345796763896942,0.2421124428510666,0.16006678342819214,0.09644506871700287,0.05271093174815178,0.026184022426605225,0.012106615118682384,0.005078035406768322,0.0019228969467803836,0.000681484118103981,0.0002185151242883876,0.00006117577140685171,0.000012756648175127339,
SA(0.3),quantile-0.85,6.249,-75.576,0.7343118190765381,0.6789799928665161,0.6021131873130798,0.5058301091194153,0.4011012315750122,0.2988983988761902,0.20482511818408966,0.12853975594043732,0.07423094660043716,0.03864719718694687,0.018190857023000717,0.008006532676517963,0.0035331572871655226,0.0013816060964018106,0.00045992451487109065,0.0001333535765297711,0.00003168947296217084,
SA(0.5),mean,6.249,-75.576,0.6439688205718994,0.5714190006256104,0.48326376080513,0.3847777545452118,0.28446754813194275,0.19281940162181854,0.1187971979379654,0.06635572016239166,0.03372039273381233,0.01570589281618595,0.006763954181224108,0.0027146500069648027,0.001016379683278501,0.00035040819784626365,0.00010803827171912417,0.00002874054007406812,,
SA(0.5),quantile-0.15,6.249,-75.576,0.5937145352363586,0.5208738446235657,0.43221157789230347,0.3386763036251068,0.24548107385635376,0.1630071997642517,0.09791243821382523,0.05364847555756569,0.02662043459713459,0.012220355682075024,0.005117412190884352,0.0018138287123292685,0.0005944586591795087,0.00018084552721120417,0.00005200167652219534,0.000015025540051283315,,
SA(0.5),quantile-0.85,6.249,-75.576,0.6663915514945984,0.5895963311195374,0.5059363842010498,0.4147261083126068,0.3151624798774719,0.21854950487613678,0.13802269101142883,0.08101475238800049,0.042473893612623215,0.02024579420685768,0.008634459227323532,0.0035305232740938663,0.0012470041401684284,0.0004135705530643463,0.0001256049727089703,0.000028051874323864467,,
SA(0.7),mean,6.249,-75.576,0.5774350762367249,0.4922110140323639,0.39637434482574463,0.2974866032600403,0.20539213716983795,0.1292332410812378,0.07386473566293716,0.03847470507025719,0.018398679792881012,0.00814745482057333,0.0033695048186928034,0.00130659737624228,0.00047077779890969396,0.00015320509555749595,0.00004353102849563584,,,
SA(0.7),quantile-0.15,6.249,-75.576,0.522770881652832,0.440896213054657,0.3511558771133423,0.26066264510154724,0.17733755707740784,0.10845429450273514,0.0604395866394043,0.03084111586213112,0.014503787271678448,0.006438127253204584,0.002386007457971573,0.0007934970199130476,0.00024095483240671456,0.00006812217179685831,0.00001976053863472771,,,
SA(0.7),quantile-0.85,6.249,-75.576,0.600318431854248,0.5160515904426575,0.4228454530239105,0.32504329085350037,0.23184454441070557,0.15171915292739868,0.09001113474369049,0.047139495611190796,0.022530604153871536,0.009965362958610058,0.004210176412016153,0.0017020782688632607,0.000677173025906086,0.00023035795311443508,0.00006262193346628919,0.0000116673454613192,,
SA(1.0),mean,6.249,-75.576,0.48880961537361145,0.39595821499824524,0.30030667781829834,0.21052569150924683,0.13506755232810974,0.0789889544248581,0.04221993312239647,0.02077874355018139,0.009503473527729511,0.00407740194350481,0.0016507331747561693,0.0006267831777222455,0.00021724657563026994,0.0000660501973470673,0.00001648265970288776,,,
SA(1.0),quantile-0.15,6.249,-75.576,0.4397551119327545,0.35461190342903137,0.26720619201660156,0.1851540207862854,0.11571183800697327,0.06641077995300293,0.03498193621635437,0.01709735207259655,0.00778380548581481,0.0031167035922408104,0.0010887564858421683,0.00032314794952981174,0.00009287254943046719,0.000026431953301653266,,,,
SA(1.0),quantile-0.85,6.249,-75.576,0.5185062289237976,0.4273090660572052,0.33074089884757996,0.23528103530406952,0.15450437366962433,0.09162445366382599,0.049342136830091476,0.0243485439568758,0.011218180879950523,0.005220101680606604,0.002501088660210371,0.0011115784291177988,0.00043317757081240416,0.00013739947462454438,0.0000329714166582562,,,
SA(1.5),mean,6.249,-75.576,0.3718358874320984,0.27976664900779724,0.1949201226234436,0.12467595934867859,0.07301294803619385,0.039279505610466,0.019550234079360962,0.00907808542251587,0.003966625779867172,0.0016407561488449574,0.0006395101663656533,0.00022899149917066097,0.00007225044100778177,0.000018849912521545775,,,,
SA(1.5),quantile-0.15,6.249,-75.576,0.3330147862434387,0.2487243115901947,0.17089977860450745,0.10658086091279984,0.061855804175138474,0.033032432198524475,0.016169846057891846,0.007322827819734812,0.0029045650735497475,0.0010111798765137792,0.00030010673799552023,0.00008452578185824677,0.000020110855984967202,,,,,
SA(1.5),quantile-0.85,6.249,-75.576,0.4073929190635681,0.31158143281936646,0.2177874594926834,0.14291347563266754,0.08360104262828827,0.04556044563651085,0.02276686020195484,0.010917624458670616,0.0054518370889127254,0.002780504059046507,0.0013451200211420655,0.0005658880691044033,0.000199288158910349,0.00005539613266591914,0.000010532537999097258,,,
SA(2.0),mean,6.249,-75.576,0.286059707403183,0.20235641300678253,0.1318434178829193,0.07883283495903015,0.043370410799980164,0.022100131958723068,0.01051900815218687,0.004718279466032982,0.00200730562210083,0.0008081974810920656,0.0003010609943885356,0.00009941947791958228,0.00002755535206233617,,,,,
SA(2.0),quantile-0.15,6.249,-75.576,0.2556021511554718,0.1771736443042755,0.1123635470867157,0.06719644367694855,0.03693225979804993,0.01836301200091839,0.008436801843345165,0.003337716916576028,0.0011497437953948975,0.00035988964373245835,0.0001022063079290092,0.000025750772692845203,,,,,,
SA(2.0),quantile-0.85,6.249,-75.576,0.319852739572525,0.22620722651481628,0.15009057521820068,0.09034145623445511,0.0502750389277935,0.02567043900489807,0.012389808893203735,0.006371193565428257,0.0033455078955739737,0.0016131378943100572,0.0006959442980587482,0.0002575257676653564,0.00007399162859655917,0.000014899427696946077,,,,
SA(2.5),mean,6.249,-75.576,0.22052687406539917,0.1477905958890915,0.09122134745121002,0.05193714797496796,0.02744748815894127,0.013576106168329716,0.006336771883070469,0.0028083890210837126,0.001182900508865714,0.0004665400483645499,0.0001661494461586699,0.000050849503168137744,0.000012454747775336727,,,,,
SA(2.5),quantile-0.15,6.249,-75.576,0.1970050036907196,0.1295374631881714,0.07979875802993774,0.045541971921920776,0.023412087932229042,0.011248764581978321,0.0046877083368599415,0.0017120195552706718,0.0005411398597061634,0.00015570217510685325,0.00004251511563779786,0.000011023980732716154,,,,,,
