TR,MMean,RMean,Vs30
31,6.746997311696002,221.6902251443641,760
225,7.481525903618942,210.80026565690468,760
475,7.799279528153679,215.54428410263375,760
975,8.048371552545118,221.38890277741163,760
2475,8.249406173210613,225.93208003335545,760
