TR,MMean,RMean,Vs30
31,6.65044609550248,206.6670896385215,760
225,7.294958952250476,192.90936050882434,760
475,7.559026091831981,194.8176061257325,760
975,7.782895748543767,198.44188513877972,760
2475,7.990898527812592,202.31532486641552,760
